ZIP,CASES,DEATHS
34274,9429,333

32747,10094,237

32080,6326,80

34948,8922,329

33521,2855,84

32094,2976,77

32347,1453,16

32054,1121,43

32739,12520,316

32355,1306,11

32567,2368,29

32463,1222,24

31510,1245,36

31635,541,6

31510,704,16

39837,105,6

31087,2390,64

30554,565,8

30666,2718,50

30121,3862,94

31783,930,33

31794,583,13

31210,6733,194

31065,633,27

31553,641,13

31626,594,27

31324,1340,14

30461,3475,33

30816,1058,12

30233,850,44

39813,281,9

31547,1448,18

30451,567,24

30182,4087,75

30726,1429,22

31553,725,10

31412,9449,186

31995,1765,1

30747,969,29

30146,7652,102

30609,6702,47

39851,131,3

30237,8628,175

31649,481,12

30156,23727,454

31512,2475,60

31756,2457,39

30917,4830,64

31637,634,16

30264,3843,63

31050,212,6

31010,808,23

30757,359,6

30641,936,11

39901,22012,397

39897,1415,34

31023,889,16

31070,421,18

31705,3470,191

30106,4412,72

39837,590,35

31649,257,2

31329,1832,28

30662,839,9

30477,1267,37

30427,509,7

30513,850,28

30290,2414,57

30162,4084,59

30004,5055,53

30662,951,18

30388,32990,619

30513,1100,23

30820,58,2

31525,3789,104

30732,2457,45

39829,897,25

30669,623,25

30099,32228,442

30535,1888,77

30567,10762,173

31087,422,44

30153,808,10

31829,886,25

30662,595,16

30263,270,6

30233,6741,112

31098,3849,94

31749,377,8

30599,2475,40

31038,358,4

31510,891,23

30823,888,33

30822,474,32

30477,491,22

31038,670,16

30256,511,20

31649,360,7

31065,2263,86

31764,822,29

31301,1259,25

30668,248,7

31301,294,4

31641,5182,85

30597,1053,15

31030,279,10

30647,862,11

31824,220,9

30828,746,15

31327,317,7

31830,696,16

39837,342,2

31730,895,45

31004,855,53

30474,416,10

30641,662,6

30724,1041,9

31829,6530,174

30233,3121,95

30621,1119,30

30669,453,13

30153,3613,60

31030,845,26

30175,806,10

31510,1051,24

30256,589,11

30153,1824,28

31023,391,23

31061,846,27

39867,54,1

30552,428,11

39851,355,29

30813,8232,182

30281,2213,40

31058,142,2

30449,481,11

39861,408,11

30248,1843,62

30577,1275,41

31821,577,16

31764,1130,68

31831,196,8

30669,28,0

30438,979,14

31039,282,12

31544,612,24

39885,377,32

31626,1721,69

31794,2098,63

30474,1526,56

30546,436,13

30474,353,11

31833,3441,106

31783,380,24

31020,221,10

30546,889,25

30256,1267,70

30740,1874,43

30019,2599,68

31510,2298,63

30819,184,5

31087,832,13

31598,1366,33

39877,55,2

30428,409,16

30554,1007,23

30740,5409,64

31750,315,25

30660,311,6

31065,379,17

31781,666,32

96785,1242,28

96762,12939,165

96752,62,0

96790,615,18

83735,16460,167

83654,57,2

83206,2440,13

83276,67,1

83833,170,3

83262,1579,19

83320,862,7

83602,77,2

83841,487,2

83449,4461,29

83853,137,1

83213,93,0

83327,41,0

83606,9854,108

83276,264,4

83312,1358,8

83435,40,0

83537,141,0

83251,93,1

83716,529,4

83263,353,2

83421,474,4

83616,424,6

83352,550,6

83533,361,1

83435,976,3

83347,1075,8

83833,4031,47

83537,929,0

83229,220,0

83536,79,3

83347,186,1

83441,2582,3

83347,1188,8

83537,815,24

83243,49,0

83302,391,5

83661,1116,10

83212,364,2

83874,263,20

83436,285,2

83302,3914,47

83635,117,1

83661,448,8

62325,1924,20

62988,124,1

62246,507,9

61016,1878,25

62378,111,0

61322,913,16

62013,66,0

61014,419,11

62622,463,11

61803,6172,29

62517,825,30

62477,310,17

62434,314,13

62293,1789,26

62474,1935,39

60179,177465,5433

62442,651,6

62467,294,6

62512,264,6

60129,2476,42

61942,684,9

60199,23099,607

61940,157,10

62476,109,0

62467,1183,4

62854,685,24

60962,198,14

62856,986,9

61543,527,1

62954,107,2

62044,295,15

60450,977,7

62935,126,2

62358,314,4

62982,54,0

61425,129,0

61414,853,7

60922,495,19

62902,1548,26

62434,264,10

62877,907,48

62063,475,21

61041,512,7

62923,362,0

60539,16903,347

60913,3481,80

60554,2714,30

61402,1317,16

61371,2426,63

60086,20815,511

62417,336,8

61310,740,2

60962,646,10

62643,599,4

62532,3160,52

62023,816,11

62273,7289,154

62870,1028,19

61760,157,3

62633,309,1

62953,155,2

61416,771,20

60180,6606,126

61709,4209,34

62675,186,1

61442,270,6

62279,925,30

62690,615,15

62611,934,25

61928,415,4

61043,1231,7

61641,4638,73

62238,447,16

61875,254,0

62352,358,6

62928,42,1

62941,240,1

61340,92,0

62238,1283,15

62419,335,16

61273,4197,100

62946,567,9

62716,4067,64

62367,90,1

62628,107,0

61928,691,12

62293,8967,220

61434,86,3

61060,1018,7

61571,2687,57

62923,787,25

61870,1741,10

62460,228,5

61474,506,8

62255,310,2

62843,486,12

62862,270,4

61251,1512,27

60475,18621,427

62902,1888,59

61016,10340,184

61760,656,15

46733,561,8

46854,8682,242

47226,1494,62

47995,113,0

47369,249,4

46071,1310,53

47201,147,3

46979,343,13

46942,2301,25

47177,3080,70

47833,461,7

47930,928,20

47513,164,2

47449,925,36

46788,762,12

47031,1038,30

47244,557,42

47305,3120,76

47513,1464,26

46507,9363,142

47322,885,19

47146,1880,71

47918,330,3

47035,393,26

46975,380,5

47649,946,12

46070,1735,42

47449,583,41

46050,6433,124

46239,1264,47

47120,813,26

46103,3454,151

46186,1343,31

46979,1702,69

46702,448,5

47201,1214,19

47995,690,6

47369,347,7

47227,366,5

47227,390,15

46259,3327,139

47557,819,10

46502,2030,28

46771,832,16

46574,2396,61

46406,14496,376

47467,970,40

46051,2525,107

46213,26227,846

46513,1474,28

47449,206,0

46911,675,5

46151,3361,42

47965,633,23

47456,1016,43

47943,238,12

46795,1233,36

47017,133,7

47513,426,27

47833,216,2

47862,269,4

47513,380,15

47584,357,18

46393,3486,52

47612,776,7

46996,180,3

47456,783,16

47382,431,10

47031,484,8

46104,292,4

47230,560,15

47234,1418,40

47532,420,6

46635,9628,176

46996,445,9

46795,665,8

47866,462,14

47020,100,0

47918,3970,16

46979,289,26

47325,141,0

47703,6175,62

47847,273,1

47851,2760,41

46911,448,9

47918,92,1

47537,2052,67

47120,387,3

47335,1809,32

46781,481,13

47995,623,16

46818,483,6

50837,170,1

50837,81,0

52140,371,9

52594,227,3

50058,148,1

52354,590,2

50643,5626,98

50031,723,9

50658,677,9

52218,454,4

51033,2261,12

50660,383,2

50551,309,4

50058,1156,12

50274,390,3

52777,474,6

50402,1377,26

51058,403,2

52171,361,1

50174,352,3

51058,535,4

52050,423,3

52751,1492,26

51436,1361,14

50266,3463,44

52594,178,4

50144,150,0

52050,780,13

52660,1396,10

51363,741,7

52004,5211,57

50531,430,19

52166,381,4

50658,437,11

50431,381,18

51645,206,1

50059,187,0

50643,311,5

50058,395,15

50130,475,4

50430,320,4

50227,477,7

51558,658,15

52654,1067,5

52171,270,9

50430,325,3

51018,193,2

52251,410,9

52075,633,3

50242,1112,34

52557,239,1

52243,5862,30

52312,447,4

50255,161,1

50430,469,0

52649,956,10

52219,5591,132

52327,523,15

52569,205,6

51241,553,7

50174,362,3

50027,697,24

50116,1018,10

50106,2020,36

51645,405,3

50454,281,1

51558,245,1

52594,259,11

51645,178,7

52769,1477,58

51058,684,14

51232,285,1

51645,406,0

50597,314,2

51045,1667,28

50597,226,2

50947,19024,288

51570,3247,44

50027,459,11

50835,88,2

51436,399,4

52805,4566,39

51570,373,2

51232,2447,16

50124,4010,18

50612,948,37

50836,243,2

50174,231,4

52651,180,2

52537,1530,62

50321,1261,7

52654,662,11

50165,121,3

50557,1844,15

50436,497,19

52171,477,9

51030,7247,97

50434,145,0

50101,727,1

66716,112,1

66015,188,0

66060,512,5

67065,51,0

67567,723,7

66716,303,3

66550,220,5

67012,1470,4

66865,107,3

67360,27,0

66782,676,8

67731,120,5

67831,68,1

67487,101,3

66938,133,1

66871,161,9

67127,20,0

67019,527,10

66780,1446,10

67635,97,1

67482,304,3

66532,200,0

66044,2839,18

67552,69,0

67352,15,0

67520,1372,18

67454,231,0

67835,2948,18

67835,3371,10

66064,526,3

67487,554,4

67736,171,11

67672,51,1

67860,429,8

67835,180,0

67762,34,0

66863,89,0

67836,69,0

67150,152,2

67056,572,8

67952,162,1

67835,33,0

66550,319,4

66060,271,4

66942,29,1

66201,14581,192

67860,159,6

67118,137,3

67059,62,0

67354,384,6

67846,24,1

66044,2613,18

67418,22,1

66072,123,1

67761,93,0

66865,1243,40

67428,164,1

66438,73,0

67476,373,6

67864,162,2

66072,539,2

67418,57,0

67333,689,6

66859,60,0

67950,55,2

66550,307,1

66772,239,0

67521,148,9

67654,576,14

66871,163,2

67437,26,0

67418,113,0

67567,431,1

67664,193,9

66427,381,0

67583,123,0

67745,144,0

67583,2095,15

66938,79,1

67554,141,1

67432,2084,11

67639,151,7

67520,101,0

67481,179,4

67442,1087,13

67871,203,1

67278,12004,127

67952,2081,13

66622,3495,82

67753,162,0

67762,218,4

67638,22,0

67583,81,1

67878,97,2

67952,227,1

67118,306,4

67753,331,2

67631,99,3

66507,87,1

67762,40,0

66944,33,0

67863,41,0

66720,114,2

66777,30,0

66105,8376,164

42720,525,23

42120,544,12

40372,245,1

42060,72,1

42746,1183,13

40322,118,1

40940,672,17

41022,2125,25

40374,320,1

41105,662,21

40328,446,0

41061,71,1

41348,127,0

40178,192,2

40299,1398,14

42261,427,16

42408,255,0

42036,956,9

41073,1220,19

42069,103,1

40011,224,5

41146,333,4

42528,320,16

42464,1908,30

40515,519,11

40983,506,6

42717,248,4

42033,162,1

42167,156,0

42376,1952,29

42160,202,12

41164,330,0

40472,267,0

40526,10595,92

41037,179,0

41649,367,4

40003,846,14

42050,234,3

41095,126,8

40461,308,4

41040,248,6

42069,877,30

42261,503,16

42746,347,9

41166,626,11

42368,135,2

42732,1956,16

40964,585,14

41040,261,1

42746,414,1

42406,1295,31

40007,270,2

42066,119,1

42464,1034,43

40445,450,17

40209,23101,384

40356,958,9

41234,298,2

45999,2627,49

41831,337,4

40995,826,9

42784,280,2

40724,1393,7

41264,147,0

41365,118,3

41749,128,1

41810,303,2

41166,280,16

40461,317,19

42083,124,1

42261,787,31

42055,106,4

40461,2303,13

41426,159,0

40328,436,11

42036,466,7

41224,182,3

41096,166,2

42069,1114,12

42638,271,1

42376,197,2

40104,407,4

40322,81,1

40372,358,6

42746,201,2

42167,276,4

40360,456,4

41352,122,0

42464,990,15

40048,856,4

40374,107,2

42376,609,9

40055,1417,26

41010,119,3

41386,91,1

41006,123,0

41367,517,9

41542,821,3

40472,143,0

42518,1018,13

41064,24,1

40445,331,2

41164,341,1

42528,408,7

41010,1117,18

40003,1468,24

42170,360,9

40013,301,1

42718,539,7

42286,280,12

42232,241,0

40055,86,0

42461,507,6

42170,5208,57

40330,228,2

42518,290,2

42406,309,5

40940,790,6

41365,63,0

40510,375,0

70583,3119,100

70648,1851,59

70725,4075,99

70339,796,24

71333,1708,62

70661,1068,40

71080,595,33

71018,4212,120

71102,10046,394

70616,8366,230

71415,355,3

70632,240,2

71326,464,14

71079,604,25

71326,600,16

71027,1015,35

70803,16039,458

71237,582,6

70789,1801,78

70570,1414,39

71324,1312,47

71467,541,30

70518,3068,95

70788,1472,61

71270,856,23

70096,18645,584

70581,1339,43

71371,496,10

70598,9433,139

70373,3886,128

71270,1658,48

70733,4188,79

71282,893,9

71220,890,26

71450,1470,28

70153,13434,592

71240,6983,163

70082,892,19

70729,1136,41

71303,4680,156

71034,430,24

71232,886,16

71426,984,15

70043,1542,32

70070,1945,63

70744,434,4

70071,839,40

70051,1643,107

71356,3625,135

70521,2215,63

70381,2018,85

70457,7689,270

70456,4983,126

71326,186,2

70356,3865,123

71270,1105,51

70510,2117,70

70639,1116,55

70435,1748,71

71018,1466,40

70729,964,42

71242,373,12

70782,740,25

71410,681,19

04241,849,10

04734,63,1

04104,2494,70

04936,74,1

04635,67,1

04917,315,11

04859,66,1

04864,60,1

04286,162,2

04448,298,6

04448,10,0

04579,82,0

04944,141,8

04921,148,14

04637,44,0

04084,1378,20

21545,646,23

21062,11790,272

21285,20296,665

21251,17523,501

20689,1172,29

21643,736,8

21104,2214,129

21918,1326,36

20616,3138,102

21634,775,10

21718,4708,138

21550,130,1

21013,3545,81

21104,5807,126

21650,342,25

20207,25321,867

20752,32660,854

21658,769,26

21822,410,6

20627,1459,60

21653,643,6

21782,2239,43

21822,2480,50

21822,1205,31

02641,1968,182

01264,765,51

02761,11878,743

02557,75,0

01983,23296,1341

01378,467,72

01139,9723,812

01038,1458,154

01889,31401,2256

02554,154,1

01756,11591,1105

02065,11217,826

02199,27823,1171

01586,16210,1161

48740,52,2

49822,108,1

49314,1265,7

49766,157,14

49611,125,0

48749,95,3

49970,84,4

49035,669,5

48652,1390,62

49630,120,2

49023,2771,80

49094,1681,34

49020,2820,69

49095,985,24

49720,184,4

49765,149,2

49736,135,0

48617,267,11

48831,1091,16

49733,149,5

49864,1178,24

49877,627,20

48827,1131,11

49720,249,4

48411,6659,334

48652,204,2

49959,394,7

49683,775,13

48831,505,16

49281,508,28

49955,919,9

48767,270,5

48895,4590,65

49302,880,9

48743,283,16

49964,438,23

48859,1024,15

48827,3469,87

49077,4762,105

49676,128,4

49317,14200,184

49805,19,0

49402,63,0

48428,1198,45

49630,148,2

49289,1857,23

48143,2064,34

49868,294,0

49774,155,0

48090,18582,1090

49683,146,3

49866,1016,14

49402,243,1

49631,516,5

49892,698,5

48670,1003,14

49657,90,1

48140,1996,34

49336,631,11

48619,27,0

49303,3105,86

49303,622,3

48366,24730,1235

49455,619,6

48661,111,5

49910,96,0

49631,166,0

48636,58,1

49734,256,12

49451,5040,72

49765,62,1

48656,176,5

48663,3792,154

48410,194,7

49840,69,1

48831,711,34

48063,1525,64

49066,1200,17

48767,644,35

49064,1080,18

49240,5877,127

48288,40049,3052

49657,181,4

55783,179,2

55110,8872,150

56569,575,4

56652,901,7

56329,950,9

56276,141,0

56048,2045,7

56083,324,3

55783,444,1

55360,1820,7

56448,377,5

56222,444,3

55079,1040,2

56560,2328,43

56652,114,0

55615,17,0

56118,282,0

56448,1035,22

55150,9897,138

55982,394,0

56385,708,3

56097,235,0

55935,264,0

56020,684,4

55053,597,11

56537,99,4

55488,34290,991

55941,206,1

56435,396,2

55371,561,5

55786,736,17

56127,215,1

55072,215,10

56209,1705,5

56728,42,0

55772,170,4

56212,140,3

55601,123,0

56686,44,1

56044,631,5

56280,184,0

56280,976,6

56516,116,2

56737,126,1

56127,613,17

55395,602,4

56209,331,3

56386,413,15

56382,742,9

55977,1529,17

56149,283,3

56021,739,17

56147,2276,16

56516,117,0

55929,3277,30

56518,873,7

56725,195,1

55783,549,0

56149,351,17

56736,673,4

56385,161,0

55128,14168,361

56736,78,2

56293,281,11

55314,256,11

55052,1648,10

56147,340,4

56751,265,0

56044,3429,34

55377,1711,22

55314,254,3

55782,3026,69

56356,5883,44

55052,761,3

56221,184,1

56244,207,1

56382,826,6

56221,57,0

55981,384,0

56434,239,3

55052,929,9

55090,5986,72

56088,579,4

56553,137,4

55925,1260,19

55395,2541,15

56280,285,6

39120,1089,44

38834,1011,12

39653,425,13

39176,797,26

38659,345,6

38773,2019,77

38965,626,12

39176,493,12

38875,857,26

39769,208,6

39086,538,16

39330,761,51

39776,700,21

38644,1254,37

39668,1381,36

39437,979,27

38672,7134,79

39475,3069,78

39630,246,3

39573,999,19

39461,478,18

38961,1226,39

39522,850,28

39502,5272,84

39225,7987,178

39063,1149,60

39097,449,16

38745,107,4

38870,1148,25

39555,4622,85

39330,691,17

39668,277,10

39656,412,11

39437,2957,84

39326,327,15

38949,2513,43

39475,2271,38

39326,2485,135

39665,525,14

39094,1152,42

38879,3600,80

38941,1687,87

39668,1411,57

39702,1802,62

39071,3837,94

39482,954,43

38659,1453,29

38825,1521,73

39176,552,23

39346,1854,111

39330,869,27

39341,599,17

39762,2028,54

38965,1702,40

39463,1145,60

39464,498,23

39657,1392,56

38820,1479,20

38856,1069,20

38623,420,6

39148,3982,86

39080,1257,29

38748,285,14

39062,1217,49

39114,596,16

39573,477,14

38771,1634,49

38962,845,26

38665,1177,39

38663,913,23

38838,816,41

38664,535,17

38871,1192,25

39657,640,27

39156,1551,56

38776,2592,99

39322,1020,22

39750,376,13

39669,338,20

39341,844,21

38961,549,14

39097,1226,34

63533,550,0

64506,441,8

64482,77,1

65264,896,11

65734,808,9

64755,426,3

64723,250,5

65335,481,5

63781,471,2

65299,5961,16

64506,3838,45

63902,1177,8

64429,171,1

65264,1204,5

65052,1584,33

63744,2779,49

64682,190,3

63941,174,3

64739,2128,30

65607,228,4

64681,60,0

65630,2498,13

63432,113,1

64162,2529,52

64492,495,17

65109,2935,22

65354,609,3

65446,629,8

64756,140,0

65764,349,1

64654,223,4

64494,300,2

65440,251,3

65715,285,11

63852,1118,12

63072,2659,44

65066,257,24

64657,183,10

65899,9599,139

64683,259,10

64636,189,1

64739,377,7

65735,198,3

64451,115,1

65274,245,2

65777,1140,10

65439,99,0

64198,9944,123

64755,3201,41

63047,6022,84

64040,1487,10

63446,64,1

65020,1188,22

65321,831,24

65712,1096,20

63471,198,2

63387,1191,5

64681,160,4

64683,557,7

63437,207,1

63621,494,3

65459,185,0

63471,906,14

65745,1297,14

64645,31,0

65064,865,9

63820,439,6

65064,618,9

65283,161,2

65264,144,1

65354,665,7

63848,770,22

65734,2019,21

64487,1128,11

65690,228,0

65085,484,3

65715,209,1

63826,720,12

63776,809,8

65335,1727,26

65449,830,22

63330,351,8

64092,977,12

65685,1178,19

65459,979,9

63544,56,1

63462,202,0

65243,606,3

64036,273,2

63666,71,1

63939,266,4

65321,951,10

63546,41,0

63432,72,1

63824,1407,20

65548,236,4

63439,108,1

63341,11197,150

64770,120,1

63087,3092,27

63167,29962,870

63150,8368,221

63670,396,1

63841,870,15

65686,689,9

64645,305,1

65630,1714,33

65444,587,3

64790,331,3

63342,748,2

63674,662,18

63951,307,1

65636,1142,13

64499,34,0

65702,586,5

59727,263,1

59035,1338,36

59524,293,3

59752,71,0

59007,232,0

59316,53,0

59463,1732,6

59521,99,0

59351,277,3

59257,32,1

59215,219,4

59722,423,1

59336,59,0

59471,207,2

59919,3084,26

59752,2957,6

59058,34,0

59411,859,10

59046,15,0

59832,63,0

59525,737,19

59752,156,0

59418,14,0

59911,535,2

59633,860,5

59461,28,0

59923,296,3

59745,165,1

59215,61,0

59645,69,4

59866,15,0

59820,2111,10

59015,101,1

59065,245,0

59058,3,0

59544,163,0

59486,146,1

59351,54,5

59728,110,0

59326,32,0

59827,425,4

59217,304,5

59226,903,19

59083,751,21

59848,96,2

59257,66,0

59748,556,0

59015,201,3

59082,74,2

59419,88,0

59461,309,6

59076,22,1

59225,331,4

59085,64,2

59353,41,0

59015,6138,85

68980,839,15

68729,160,1

69366,4,0

69334,4,0

69142,2,0

68882,145,0

69354,234,1

68719,70,0

69221,74,0

68812,1802,15

68020,119,1

68667,264,2

68409,524,4

68730,140,0

69168,145,0

69221,69,4

69131,94,1

68980,163,1

68629,905,7

68038,283,1

68828,219,5

68785,2547,46

69354,242,1

68858,1273,15

69122,8,0

68751,163,2

68057,1604,17

68183,21830,221

69041,21,1

68335,94,1

68929,90,0

69034,36,0

68946,92,3

68357,530,5

69340,20,0

68637,26,0

68976,59,0

69366,4,0

68882,47,0

68980,2645,49

68980,246,13

68969,53,0

69040,21,0

69044,41,0

68742,276,3

69167,21,1

68820,143,5

68377,84,0

68448,101,0

68932,257,0

69122,102,0

68778,9,0

69128,47,0

68729,256,1

68542,8979,43

69025,854,7

69163,10,0

68823,8,0

68758,1450,10

69167,10,0

