Zip Code,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
71630,0.078,0.033,0.19,0.189,0.509

71658,0.063,0.049,0.207,0.159,0.523

72032,0.066,0.027,0.077,0.403,0.426

72947,0.149,0.079,0.245,0.187,0.34

72566,0.105,0.121,0.226,0.197,0.351

71968,0.025,0.102,0.068,0.21,0.596

72132,0.082,0.043,0.127,0.258,0.489

72425,0.062,0.141,0.154,0.346,0.297

71859,0.098,0.073,0.096,0.179,0.554

71913,0.059,0.086,0.079,0.216,0.56

71859,0.081,0.07,0.145,0.145,0.56

72553,0.137,0.156,0.088,0.179,0.44

72577,0.086,0.121,0.133,0.23,0.43

72075,0.116,0.103,0.135,0.179,0.468

72152,0.042,0.036,0.172,0.173,0.577

72854,0.144,0.103,0.205,0.221,0.328

71845,0.12,0.082,0.078,0.234,0.486

72458,0.085,0.128,0.153,0.298,0.337

72311,0.103,0.032,0.195,0.263,0.407

71643,0.035,0.016,0.194,0.201,0.554

71822,0.074,0.121,0.106,0.201,0.499

72826,0.148,0.11,0.12,0.143,0.479

72064,0.048,0.045,0.136,0.297,0.474

72776,0.075,0.088,0.159,0.114,0.564

72672,0.171,0.112,0.119,0.108,0.49

71839,0.064,0.124,0.106,0.219,0.487

72313,0.033,0.109,0.134,0.284,0.44

72036,0.068,0.128,0.127,0.271,0.406

71935,0.081,0.095,0.136,0.166,0.521

71860,0.143,0.048,0.084,0.224,0.501

72648,0.107,0.14,0.084,0.261,0.408

71726,0.151,0.097,0.06,0.242,0.449

72016,0.098,0.051,0.08,0.367,0.404

72069,0.052,0.061,0.134,0.276,0.477

71950,0.064,0.061,0.2,0.176,0.501

72479,0.077,0.098,0.141,0.287,0.397

71932,0.18,0.08,0.217,0.076,0.446

72679,0.082,0.151,0.181,0.285,0.302

72064,0.062,0.17,0.103,0.273,0.391

72164,0.028,0.027,0.126,0.175,0.644

72425,0.051,0.145,0.203,0.289,0.311

72322,0.087,0.007,0.289,0.267,0.35

72122,0.066,0.044,0.154,0.212,0.524

72833,0.155,0.14,0.124,0.123,0.458

72679,0.1,0.088,0.125,0.149,0.538

72906,0.121,0.142,0.157,0.208,0.372

71823,0.12,0.093,0.155,0.165,0.467

72577,0.067,0.158,0.22,0.222,0.333

72663,0.067,0.092,0.11,0.234,0.498

71758,0.116,0.179,0.098,0.262,0.344

72679,0.033,0.06,0.096,0.272,0.539

72701,0.034,0.028,0.101,0.186,0.651

72137,0.026,0.054,0.152,0.277,0.491

72074,0.059,0.048,0.208,0.231,0.454

72833,0.116,0.1,0.112,0.198,0.474

94666,0.019,0.008,0.055,0.123,0.795

95223,0.025,0.085,0.088,0.19,0.612

95642,0.045,0.013,0.099,0.188,0.655

95966,0.015,0.043,0.111,0.204,0.626

95257,0.045,0.019,0.098,0.276,0.562

95987,0.027,0.031,0.092,0.151,0.7

94528,0.018,0.016,0.039,0.121,0.806

95531,0.01,0.135,0.112,0.196,0.547

95721,0.028,0.042,0.072,0.183,0.675

93750,0.021,0.022,0.059,0.156,0.741

95920,0.028,0.026,0.146,0.206,0.594

