Zip Code,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS

83347,0.175,0.219,0.096,0.167,0.343

83833,0.146,0.105,0.17,0.22,0.359

83537,0.002,0.012,0.066,0.328,0.592

83229,0.109,0.173,0.231,0.125,0.362

83536,0.027,0.073,0.157,0.285,0.459

83347,0.18,0.2,0.105,0.135,0.379

83441,0.101,0.207,0.196,0.25,0.245

83347,0.134,0.219,0.106,0.152,0.39

83537,0.009,0.03,0.117,0.326,0.517

83243,0.083,0.173,0.153,0.185,0.406

83302,0.123,0.137,0.146,0.171,0.423

83661,0.081,0.199,0.174,0.242,0.304

83212,0.078,0.205,0.152,0.185,0.381

83874,0.068,0.144,0.299,0.147,0.342

83436,0.099,0.189,0.19,0.25,0.272

83302,0.166,0.222,0.101,0.177,0.335

83635,0.041,0.118,0.102,0.378,0.361

83661,0.136,0.13,0.324,0.172,0.239

62325,0.18,0.092,0.189,0.19,0.35

62988,0.11,0.082,0.148,0.262,0.398

62246,0.07,0.055,0.108,0.218,0.549

61016,0.025,0.006,0.065,0.244,0.66

